,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
0,380403,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380403,3,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380444,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380444,6,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380446,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380447,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380466,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380466,3,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380470,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380470,15,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380481,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380513,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380513,5,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380517,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380531,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380534,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380537,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380538,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380564,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380564,2,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380567,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380623,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380623,4,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380624,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380625,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380626,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380627,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380647,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380647,4,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
